chapter,section,axiom_number,fol,english
5,5.1,(5.1),(forall (x) (iff (p x) (exists (e)(and (p' e x)(Rexist e))))),p is true of x if and only if there is an eventuality e that is the eventuality of p being true of x and e really exists
5,5.1,(5.2),(forall (e1 x) (if (run' e1 x) (exists (e2) (and (go' e2 x)(gen e1 e2))))),"Whenever a running event e1 occurs, there is a going event e2 that it generates"
5,5.2,(5.3),(forall (e x y z) (if (give' e x y z)(argn x 1 e))),"If e is an eventuality of x giving y to z, then x is the first argument of e"
5,5.2,(5.4),(forall (e x y z) (if (give' e x y z)(argn y 2 e))),"If e is an eventuality of x giving y to z, then y is the second argument of e"
5,5.2,(5.5),(forall (e x y z) (if (give' e x y z)(argn z 3 e))),"If e is an eventuality of x giving y to z, then z is the third argument of e"
5,5.2,(5.6),(forall (e x y z) (if (give' e x y z)(argn e 0 e))),"If e is an eventuality of giving, then e is the 0th argument of itself"
5,5.2,(5.7),(forall (e x n) (if (argn x n e)(and (nonNegInteger n)(eventuality e)))),"If x is the nth argument of e, then n is a nonnegative integer and e is an eventuality"
5,5.2,(5.8),(forall (e)(iff (eventuality e)(argn e 0 e))),Something is an eventuality if and only if it is the 0th argument of itself
5,5.2,(5.9),(forall (e x) (iff (arg x e)(exists (n)(argn x n e)))),x is an argument of e if it is the nth argument for some n
5,5.2,(5.10),(forall (x e1) (iff (arg* x e1) (or (arg x e1) (exists (e2)(and (arg e2 e1)(arg* x e2)))))),"x is an arg* of e1 if x is an argument of e1, or an argument of an argument of e1, and so on"
5,5.2,(5.11),(forall (e x y z) (if (give' e x y z)(pred give e))),"If e is a giving event by x of y to z, then the entity we call give is the pred of e"
5,5.2,(5.12),(forall (e p) (if (pred p e)(and (predicate p)(eventuality e)))),The pred of an eventuality is a predicate and eventualities are eventualities
5,5.2,(5.13),(forall (e x y z) (if (give' e x y z)(arity 3 e))),A giving event has an arity of 3
5,5.2,(5.14),(forall (n e) (if (arity n e)(and (nonNegInteger n)(eventuality e)))),The arity of an eventuality is a nonnegative integer and eventualities are eventualities
5,5.2,(5.15),(forall (e) (iff (eventuality e) (exists (p n) (and (pred p e)(arity n e) (forall (i) (if (and (posInteger i) (leq i n)) (exists (x) (argn x i e)))))))),"If e is an eventuality, then it has a predicate p, an arity n and n arguments"
5,5.3,(5.16),(forall (e1 e2) (if (gen e1 e2)(and (eventuality e1)(eventuality e2)))),The gen relation is between two eventualities
5,5.3,(5.17),(forall (e) (not (gen e e))),The gen relation is antireflexive - an eventuality does not generate itself
5,5.3,(5.18),(forall (e1 e2) (if (and (gen e1 e2)(Rexist e1)) (Rexist e2))),"If e1 generates e2 and e1 really exists, then e2 really exists"
5,5.3,(5.19),(exists (e1 e2) (and (imply e1 e2)(not (gen e1 e2)))),Generation is stronger than implication - there exist events where one implies another but doesn't generate it
5,5.3,(5.20),(forall (e1 e2 t) (if (gen e1 e2)(iff (atTime e1 t)(atTime e2 t)))),"If e1 generates e2, then e1 and e2 occur at the same time"
5,5.3,(5.21),(forall (e1 e2 x s) (if (gen e1 e2)(iff (atLoc e1 x s)(atLoc e2 x s)))),"If e1 generates e2, then e1 and e2 occur at the same location"
6,6.1,(6.1),(forall (s1 s2) (if (set s1) (iff (equal s1 s2) (and (set s2) (forall (x) (iff (member x s1)(member x s2))))))),"Sets can be equal only to other sets, and they are equal when they contain exactly the same members"
6,6.1,(6.2),(forall (x s) (if (member x s)(set s))),The second argument of the member predicate is necessarily a set
6,6.1,(6.3),(forall (x) (equal x x)),Everything is equal to itself
6,6.1,(6.4),(forall (x y) (iff (equal x y)(equal y x))),Equality is symmetric
6,6.1,(6.5),(forall (x y z) (if (and (equal x y)(equal y z))(equal x z))),Equality is transitive
6,6.1,(6.6),(forall (x y)(iff (nequal x y)(not (equal x y)))),Two entities are not equal if they are not equal
6,6.1,(6.7),(forall (s) (iff (null s) (and (set s)(forall (x)(not (member x s)))))),The null set is the set with no members
6,6.1,(6.8),(forall (s s1 x) (iff (addElt s s1 x) (and (set s)(set s1) (forall (y) (iff (member y s) (or (equal y x)(member y s1))))))),"s is constructed by adding the element x to s1 exactly when the members of s are the members of s1, together with x"
6,6.1,(6.9),(forall (s x) (iff (singleton s x) (exists (s1) (and (addElt s s1 x)(null s1))))),A singleton set consisting of an entity x is defined by adding x to the null set
6,6.1,(6.10),(forall (s x y) (iff (doubleton s x y) (exists (s1) (and (nequal x y)(addElt s s1 x) (singleton s1 y))))),A doubleton set consists of exactly two distinct elements x and y
6,6.1,(6.11),(forall (s s1 x) (iff (deleteElt s s1 x) (and (set s)(set s1) (forall (y) (iff (member y s) (and (member y s1)(nequal y x))))))),The set s is obtained from set s1 by deleting an element x
